Название,Юрлицо или физлицо,Год признания,Дата внесения,Статус,Сфера деятельности,Описание деятельности,Причина признания,Экстремистская организация,Прекратили работу,Исключена из реестра,Год исключения,Причина исключения
Толоконникова Надежда Андреевна,Физлицо,2021,12/30/2021,«Иностранный агент» (СМИ физлицо),Защита прав женщин,"Участница феминистской панк-группы Pussy Riot, основательница интернет-издания «Медиазона» и организации по защите прав заключённых «Зона Права», бывшая участница арт-группы «Война».",Причина признания неизвестна.,,,,,
Никульшина Вероника Юрьевна,Физлицо,2021,12/30/2021,«Иностранный агент» (СМИ физлицо),Защита прав женщин,"Участница феминистской панк-группы Pussy Riot, активистка и телеведущая.",Причина признания неизвестна.,,,,,
Алексеев Андрей Викторович,Физлицо,2021,12/30/2021,«Иностранный агент» (СМИ физлицо),Поддержка местного сообщества,"Ярославский бизнесмен, руководитель кинопрокатной компании",Причина признания неизвестна.,,,,,
Инициативная группа ЛГБТ+ «Реверс»,Юрлицо,2021,12/24/2021,"""«Общественные объединения, функционирующие без приобретения прав юридического лица и выполняющие функции иностранного агента»""",Поддержка ЛГБТК+,"Цель организации – помощь и защита людям ЛГБТ. «Защита прав и интересов представителей ЛГБТ-сообщества, преодоление дискриминации по признаку сексуальной ориентации и гендерной идентичности, популяризация здорового образа жизни, информационная и культурная деятельность, содействие распространению ценностей демократии и прав человека», – так определена миссия сообщества.

«Реверс» известен тем, что организовывал квир-фестиваль «Черноморье». В разные годы, с 2016 по 2019, под его знамена собиралось от 30 до 40 участников соответствующей ориентации. Инициативная группа «Реверс» была создана в марте 2015 года в краевом центре, через филиал открылся и в Ростове-на-Дону.","«Реверс» признан «иноагентом» из-за поступления денежных средств из благотворительного фонда социально-правовой помощи «Сфера», который был признан «иноагентом» в 2016 году.",,,,,
ЛГБТ-инициативная группа «Выход»,Юрлицо,2021,12/24/2021,"""«Общественные объединения, функционирующие без приобретения прав юридического лица и выполняющие функции иностранного агента»""",Поддержка ЛГБТК+,Движение образовано в 2008 году и работает «для признания государством и обществом человеческого достоинства и равных прав каждой и каждого вне зависимости от сексуальной ориентации и/или гендерной идентичности».,Причина признания неизвестна.,,,,,
Автономная некоммерческая организация «Лилит»,Юрлицо,2021,12/17/2021,«Иностранный агент» (НКО),Правозащитные организации широкого профиля,Организация занимается реализацией социально-правовых программ.,Причина признания неизвестна.,,,,,
Дальневосточное общественное движение «Маяк»,Юрлицо,2021,12/17/2021,"""«Общественные объединения, функционирующие без приобретения прав юридического лица и выполняющие функции иностранного агента»""",Поддержка ЛГБТК+,"Организация занимается правовой и социально-психологической помощью ЛГБТ и женщинам, пострадавшим от насилия. ""Маяк"" с 2016 года и входит в ""Российскую ЛГБТ-сеть"", которая в ноябре 2021 года была включена в реестр незарегистрированных объединений-«иноагентов». ",Причина признания неизвестна.,,,,,
Григорьева Алина Александровна,Физлицо,2021,12/3/2021,«Иностранный агент» (СМИ физлицо),СМИ,"Журналистка «Idel.Реалий» (службы «Радио Свобода», признанной СМИ-«иноагентом»), освещает события в Татарстане и специализируется на вопросах городской среды.",Причина признания неизвестна.,,,,,
Григорьев Андрей Валерьевич ,Физлицо,2021,12/3/2021,«Иностранный агент» (СМИ физлицо),СМИ,"Журналист «Idel.Реалий» (службы «Радио Свобода», признанной СМИ-«иноагентом»), освещает события в Татарстане.",Причина признания неизвестна.,,,,,
Гималова Регина Эмилевна,Физлицо,2021,12/3/2021,«Иностранный агент» (СМИ физлицо),СМИ,"Журналистка «Крым.Реалий» (службы «Радио Свобода», признанной СМИ-«иноагентом»), освещает федеральную повестку.",Причина признания неизвестна.,,,,,
Хисамова Регина Фаритовна,Физлицо,2021,12/3/2021,«Иностранный агент» (СМИ физлицо),СМИ,"Журналистка «Крым.Реалий» (службы «Радио Свобода», признанной СМИ-«иноагентом»), освещает федеральную повестку.",Причина признания неизвестна.,,,,,
"Ассоциация по содействию защите прав призывников, альтернативнослужащих и военнослужащих «Гражданин. Армия. Право».",Юрлицо,2021,12/3/2021,«Иностранный агент» (НКО),Помощь призывникам и военнослужащим,"Ассоциация защищает права призывников, военнослужащих и тех, кто проходит альтернативную службу.",Причина признания неизвестна.,,,,,
ООО «Нобелевский призыв»,Юрлицо,2021,11/26/2021,«Иностранный агент» (СМИ юрлицо),СМИ,"Организация не выполняет никаких функций. Создана бывшей журналисткой «Проекта» Елизаветой Сурначевой, поскольку, согласно законодательству, физлица-«иноагенты» обязаны учредить российское ООО.","Юрлица, учрежденные физическими лицами-«иноагентами» вносятся Минюстом в реестр СМИ-«иноагентов».",,,,,
Еланчик Олег Александрович,Физлицо,2021,11/26/2021,«Иностранный агент» (СМИ физлицо),СМИ,Главный редактор Sota.Vision. ,Причина признания неизвестна.,,,,,
ООО «Честные выборы»,Юрлицо,2021,11/19/2021,«Иностранный агент» (СМИ юрлицо),Защита избирательных прав,"Организация не выполняет никаких функций. Создана региональными координаторами Движения в защите прав избирателей «Голос» Владимиром Жилкиным, Андреем Гусевым, Алексеем Петровым, Аркадием Любаревым, Виталием Ковиным, Екатериной Кильтау, Вероникой Катковой, Владимиром Егоровым, Александром Грезевым, Владимиром Жилинским, Артемом Пигоровым, Михаилом Грезевым, Тихом Жилинским, Артемом Пигоровым, Михаилом Пещевым Александром Лютовым, Пол Костылевой, Инной Карезиной, Софией Ивановой, Сергеем Пискуновым, поскольку, согласно законодательству, физлица-«иноагенты» обязаны учредить российское ООО.","Учредители организации уведомили Минюст о ее создании, после чего Минюст ее автоматически включил в реестр СМИ-«иноагентов».",,,,,
Фонд развития книжной культуры «Иркутский союз библиофилов»,Юрлицо,2021,11/19/2021,«Иностранный агент» (СМИ юрлицо),"""Социально-просветительские инициативы, образовательные проекты""","Фонд занимается популяризацией книжной культуры и изучением истории книжного дела в Иркутске. Учредителем Фонда является Алексей Петров — историк и блогер, который в конце сентября попал в реестр «иноагентов» как координатор Движения в защиту прав избирателей «Голос» в Иркутской области.

Сопредседатель «Голоса» Григорий Мельконьянц заявил, что «Иркутский союз библиофилов» включили в реестр «иноагентов» по ошибке. По его словам, в Минюсте решили, что это юридическое лицо было создано Петровым для отчетности во исполнение закона о СМИ — «иноагентах», хотя на самом деле это не так.","Физические лица, признанные «иностранными агентами» обязаны создать юридическое лицо, через которое они будут отчитываться о своих расходах в Минюст. Они обязаны уведомить Минюст о создании такой организации и в учредительных документах указывают, учредителями каких еще организаций они являются.

Минюст ошибочно счел, что Алексей Петров создал это юрлицо для отчетности перед Минюстом, тогда как это не так.",,,,,
Игорь Викторович Кочетков,Физлицо,2021,11/12/2021,«Иностранный агент» (СМИ физлицо),Поддержка ЛГБТК+,"Hоссийский общественный деятель, правозащитник, публицист, ЛГБТ-активист, один из основателей «Российской ЛГБТ-сети», которая также признана «иностранным агентом».",Причина признания неизвестна.,,,,,
ООО «Как бы инагент»,Юрлицо,2021,11/10/2021,«Иностранный агент» (СМИ юрлицо),СМИ,"Организация не выполняет никаких функций. Создана редактором «Псковской губернии» Денисом Камалягиным, корреспондентом издания «7x7», Сергеем Маркеловым и художницей Дарьей Апахончич, поскольку, согласно законодательству, физлица-«иноагенты» обязаны учредить российское ООО.","Юрлица, учрежденные физическими лицами-«иноагентами» вносятся Минюстом в реестр СМИ-«иноагентов».",,,,,
Межрегиональное общественное движение «Российская ЛГБТ-сеть»,Юрлицо,2021,11/8/2021,"""«Общественные объединения, функционирующие без приобретения прав юридического лица и выполняющие функции иностранного агента»""",Поддержка ЛГБТК+,"Общественное движение, занимающееся вопросами защиты прав и социальной адаптации сексуальных и гендерных меньшинств. Движение основано в мае 2006 года. 19 октября 2008 года организация была преобразована в Межрегиональное общественное движение «Российская ЛГБТ-сеть», председателем избран Игорь Кочетков. Это первая и единственная в России межрегиональная ЛГБТ-организация. «Российская ЛГБТ-сеть» является членом Международной ассоциации лесбиянок и геев.","Перевод от Благотворительного фонда социально-правовой помощи «Сфера», который так же признан «иностранным агентом».",,,,,
Заговора Максим Александрович,Физлицо,2021,11/8/2021,«Иностранный агент» (СМИ физлицо),СМИ,"Журналист «Афиши». Ранее Максим Заговора сотрудничал с «Командой 29» до ее роспуска и создавал на ее платформе медиа. Ранее он работал на телевидении, занимался новостями, делал программу о кино.",Причина признания неизвестна.,,,,,
Ветошкина Валерия Валерьевна,Физлицо,2021,11/8/2021,«Иностранный агент» (СМИ физлицо),Правозащитные организации широкого профиля,Адвокат Ветошкина Валерия ранее состояла в «Команде 29». Вместе с Иваном Павловым они стали первыми адвокатами включенными в реестр СМИ-«иноагентов».,"Иностранным финансированием Минюст посчитал перевод 16 тысяч рублей от Правозащитного центра «Мемориал» в качестве оплаты за оказание услуг ОВД-Инфо, а также 5 тысяч рублей возмещения оплаты за поездку на правозащитный семинар в 2021 году.

Политической деятельностью ведомство назвало посты Ветошкиной в соцсетях и комментарии для изданий «Радио Свобода», «Север.Реалии», «Крым.Реалии», «Настоящее время», «Медуза», «Голос Америки».",,,,,
Павлов Иван Юрьевич,Физлицо,2021,11/8/2021,«Иностранный агент» (СМИ физлицо),Правозащитные организации широкого профиля,"Российский адвокат, активист движения за развитие государственной открытости в России. Участвовал в разработке федеральных законов «Об обеспечении доступа к информации о деятельности государственных органов и органов местного самоуправления» и «Об обеспечении доступа к информации о деятельности судов в Российской Федерации». Специализируется в сфере защиты права на доступ к официальной информации и защите граждан от необоснованных обвинений в разглашении государственной тайны, государственной измене и шпионаже. 

Он защищал военного журналиста Григория Пасько, топ-менеджера ""Интер РАО"" Карину Цуркан, а также добивался рассекречивания документов, связанных со смертью шведского дипломата Рауля Валленберга. В последнее время Павлов защищает обвиняемого в госизмене советника главы Роскосмоса Ивана Сафронова.","Иностранным финансированием Минюст посчитал несколько переводов Павлову со счета Международной коллегии адвокатов (МКА) «Санкт-Петербург» в качестве выплаты гонораров и зарплаты. Министерство утверждает, что с января 2021 года по май 2021 года МКА получила прямое иностранное финансирование.

Политической же деятельностью адвоката Минюст посчитал публикации в блоге на «Эхе Москвы», в фейсбуке, телеграме, твиттере, а также распространение в соцсетях материалов «Дождя», «Радио Свобода», «Медузы» и «Настоящего времени».",,,,,
Скворцова Елена Сергеевна,Физлицо,2021,11/8/2021,«Иностранный агент» (СМИ физлицо),СМИ,"Журналист Елена Скворцова - самая молодая среди бывших участников «Команды 29», которых признали «иностранными агентами». Ей 22 года, она пришла в команду студенткой журфака СПбГУ за год до закрытия проекта - занималась новостями и SMM.

Включение в реестр Елена Скворцова связывает с тем, что ее фамилия была на сайте «Команды 29» и о ее сотрудничестве с правозащитниками ранее писали СМИ. Но публичную известность Скворцова получила после того, как ее отчислили из СПбГУ из-за участия в зимних протестах в поддержку политзаключенных.

Ее задержала полиция, после чего у нее начались проблемы в университете. По словам Елены, преподаватели отказались зачесть ей прохождение практики, несмотря на опубликованные тексты, в том числе на сайте «Команды 29». Сейчас Елена оспаривает свое отчисление в суде. Она также проводила вечера в поддержку политзаключенных.",Причина признания неизвестна.,,,,,
Оленичев Максим Владимирович,Физлицо,2021,11/8/2021,«Иностранный агент» (СМИ физлицо),Правозащитные организации широкого профиля,"Юрист Максим Оленичев - бывший член «Команды 29». После роспуска объединения он продолжает заниматься делами своих клиентов непублично, в том числе представляет гражданских активистов, например, в спорах, связанных с информацией и экологией.",Причина признания неизвестна.,,,,,
ООО «Москоу диджитал медиа»,Юрлицо,2021,10/15/2021,«Иностранный агент» (СМИ юрлицо),СМИ,"Является учредителем издания Republic. Входит в один медиахолдинг с телеканалом «Дождь», ранее признанным СМИ-«иноагентом», и журналом «Большой город». До ноября 2016 года сайт назывался Slon.","Причиной признания ""иностранным агентом"" стала оплата подписки посольствами Швейцарии, Франции, Казахстана, Литвы, консульством Финляндии, а также корпунктом The Wall Street Journal, Фондом Фридриха Науманна и казахстанской компанией Eurasia Metals Company. За два года эти иностранные юрлица перечислили изданию 178,5 тысяч рублей, что составляет 0,18% от годового оборота СМИ.
",,,,,
«РС-Балт»,Юрлицо,2021,10/15/2021,«Иностранный агент» (СМИ юрлицо),СМИ,"Является учредителем издания «Росбалт» — российского федерального информационно-аналитического агентства с главными офисами в Москве и Санкт-Петербурге, представительствами в городах России и странах ближнего зарубежья. Основано в 2001 году. Директор — Наталия Черкесова, супруга генерала полиции и бывшего руководителя Федерального агентства по поставкам вооружения, военной, специальной техники и материальных средств Виктора Черкесова.

Twitter помечает аккаунт и твиты «Росбалта» как публикации государственного издания из России.","Минюст посчитал иностранным финансированием получение денежных средств от Информационно-аналитического центра «Сова» за аренду помещения для конференции. Речь идет о сумме в 90 тысяч рублей.

Политической деятельностью признаны регулярные публикации или участие в создании материалов изданий, внесенных в реестр СМИ-иноагентов: «Голоса Америки», «Кавказ.Реалии», «Крым.Реалии», «Радио Свобода» и пр. начиная с сентября 2020 года.",,,,,
АНО «Якутия — наше мнение»,Юрлицо,2021,10/14/2021,«Иностранный агент» (СМИ юрлицо),Правозащитные организации широкого профиля,"На сайте организации в качестве ее цели указано оказание практического и методологического содействия по защите прав человека во всех странах мира с помощью международных правовых инструментов.

Организация была основана Степаном Петровым, который также является «иностранным агентом».",Причина признания неизвестна,,,,,
Арапова Галина Юрьевна,Физлицо,2021,10/8/2021,«Иностранный агент» (СМИ физлицо),Поддержка независимой журналистики,"Правозащитник, автор книг по медиаправу, основатель и директор «Центра защиты прав СМИ», внесенного в реестр НКО-«иноагентов». Центр оказывает правовую помощь журналистам, блогерам и фотографам по вопросам их профессиональной деятельности.

Галина Арапова — заслуженный работник медиаотрасли Воронежской области.",Причина признания неизвестна,,,,,
Симонов Евгений Алексеевич,Физлицо,2021,10/8/2021,«Иностранный агент» (СМИ физлицо),Защита окружающей среды,"Эколог, международный координатор экологической коалиции «Реки без границ». Организация занимается защитой речных и озерных экосистем, в частности, в Сибири и на Дальнем Востоке. 

Симонов 14 лет прожил в Китае, является экспертом по проблемам экологической безопасности в рамках китайской глобальной программы «Пояс и путь». В 2013 году в Королевском географическом обществе Лондона он получил престижную премию Фонда Уитли за достижения в области охраны дикой природы. В 2020 году Министерство природных ресурсов и экологии РФ присвоило ему звание Отличника охраны природы за успехи в охране трансграничных водно-болотных экосистем.",Причина признания неизвестна,,,,,
Вольтская Татьяна Анатольевна,Физлицо,2021,10/8/2021,«Иностранный агент» (СМИ физлицо),СМИ,"Журналистка «Радио Свобода», признанного «иноагентом».",Причина признания неизвестна,,,,,
Клепиковская Екатерина Дмитриевна,Физлицо,2021,10/8/2021,«Иностранный агент» (СМИ физлицо),СМИ,"журналистка «Север.Реалии», признанного «иноагентом».",Причина признания неизвестна,,,,,
Сотников Даниил Владимирович,Физлицо,2021,10/8/2021,«Иностранный агент» (СМИ физлицо),СМИ,"журналист «Дождя», признанного «иноагентом».",Причина признания неизвестна,,,,,
Захаров Андрей Вячеславович,Физлицо,2021,10/8/2021,«Иностранный агент» (СМИ физлицо),СМИ,Журналист «Русской службы Би-би-си».,"Поводом для включения в реестр стали публикации в твиттере с комментариями новостей «Медузы» и «Настоящего времени». Возможно, это не полный перечень причин признания ""иностранным агентом"".",,,,,
Сурначева Елизавета Дмитриевна,Физлицо,2021,10/8/2021,«Иностранный агент» (СМИ физлицо),СМИ,"Журналистка «Настоящего времени», признанного «иноагентом».",Причина признания неизвестна,,,,,
Соловьева Елена Анатольевна,Физлицо,2021,10/8/2021,«Иностранный агент» (СМИ физлицо),СМИ,"Журналистка «Север.Реалии», признанного «иноагентом».",Причина признания неизвестна,,,,,
Перл Роман Александрович,Физлицо,2021,10/8/2021,«Иностранный агент» (СМИ физлицо),СМИ,"Журналист «Настоящего времени», признанного «иноагентом».",Причина признания неизвестна,,,,,
Общество с ограниченной ответственностью «МЕМО»,Юрлицо,2021,10/8/2021,«Иностранный агент» (СМИ юрлицо),СМИ,С 2008 года является учредителем издания «Кавказский узел».,Причина признания неизвестна,,,,,
«Mason G.E.S. Anonymous Foundation» (США),Юрлицо,2021,10/8/2021,«Иностранный агент» (СМИ юрлицо),СМИ,Является владельцем издания «mnews.world».,Причина признания неизвестна,,,,,
«Stichting Bellingcat»,Юрлицо,2021,10/8/2021,«Иностранный агент» (СМИ юрлицо),СМИ,"Юридическое лицо, владеющее расследовательским СМИ «Bellingcat». Издание выпустило несколько расследований об обстрелах украинских позиций с российской территории в 2014 году, о настоящих именах, подозреваемых в отравлении Сергея и Юлии Скрипаль. 

Совместно с «The Insider», признанными СМИ-«иноагентом», «Der Spiegel», «CNN» и «ФБК», ликвидированным и признанным экстремистской организацией, выпустило расследование о покушении на Алексея Навального.","Минюст отметил, что организация занимается журналистскими расследованиями в партнерстве с иностранными объединениями журналистов, ведет социальные сети и получает пожертвования от благотворительных организаций. ",,,,,
ООО «ЖУРНАЛИСТ-ИНОСТРАННЫЙ АГЕНТ»,Юрлицо,2021,10/1/2021,«Иностранный агент» (СМИ юрлицо),СМИ,"Организация не выполняет никаких функций. Создана журналисткой «Радио Свободы» Людмилой Савицкой, поскольку,  согласно законодательству, физлица-«иноагенты» обязаны учредить российское ООО.","Организация не выполняет никаких функций. Создана Людмилой Савицкой, поскольку физлица-«иноагенты», согласно новому законодательству, обязаны учредить российское ООО.",,,,,
ОВД-Инфо,Юрлицо,2021,9/29/2021,"""«Общественные объединения, функционирующие без приобретения прав юридического лица и выполняющие функции иностранного агента»""",Правозащитные организации широкого профиля,"Независимый правозащитный медиапроект про политические преследования в России. Основан в 2011 году. С помощью горячей линии и Telegram-бота ОВД-Инфо собирает информацию о задержаниях на публичных акциях и других случаях политпрессинга, публикует новости и координирует юридическую помощь задержанным.

Цели ОВД-Инфо, которые Минюст указал при внесении в реестр «иноагентов»: «борьба за снижение политического давления и политического преследования в России, а также повышение общего уровня правовой грамотности российских граждан».","Политическая деятельность и иностранное финансирование.
Официальной причиной, согласно Минюсту РФ, судя по всему, является иностранное финансирование. В реестре, в графе «Источники финансирования» указано следующее - 
«Межрегиональная общественная организация Правозащитный центр ""Мемориал""», Европейская комиссия и FIDH (Fédération internationale des ligues des droits de l’Homme)
Неофициальной причиной является активная правозащитная деятельность, а также борьба с законом об «иноагентах» -
https://www.change.org/agents_of_people ",,,,,
Верзилов Петр Юрьевич,Физлицо,2021,9/29/2021,«Иностранный агент» (СМИ физлицо),СМИ,"Издатель «Медиазоны».

«Медиазо́на» — российское интернет-СМИ, основанное в сентябре 2014 года участницами группы Pussy Riot Надеждой Толоконниковой и Марией Алёхиной. «Медиазона» фокусируется на освещении новостей, аналитике, колумнистике о судебных, правоохранительных органах и пенитенциарной системе России, а также о различных проявлениях преследований граждан России за их политические взгляды.","Официальные причины выяснить не удалось. Вероятно, и политическая деятельность и иностранное финансирование.",,,,,
Смирнов Сергей Сергеевич,Физлицо,2021,9/29/2021,«Иностранный агент» (СМИ физлицо),СМИ,"Главный редактор «Медиазоны».

«Медиазо́на» — российское интернет-СМИ, основанное в сентябре 2014 года участницами группы Pussy Riot Надеждой Толоконниковой и Марией Алёхиной. «Медиазона» фокусируется на освещении новостей, аналитике, колумнистике о судебных, правоохранительных органах и пенитенциарной системе России, а также о различных проявлениях преследований граждан России за их политические взгляды.",Причина признания Сергея Смирнова «иноагентом» в реестре не указана.,,,,,
Важенков Артем Валерьевич,Физлицо,2021,9/29/2021,«Иностранный агент» (СМИ физлицо),Защита избирательных прав,"Экс-координатор «Открытой России» и координатор движения «Голос» в Тверской области.

Общероссийское общественное «Голос» учреждено в 2013 году гражданами России — активными участниками ассоциации «ГОЛОС», которая с 2000 г. активно занималась общественным наблюдением за выборами по всей стране и которая из-за беспрецедентного давления была закрыта. 
Движение в защиту прав избирателей «Голос» — ведущее объединение граждан России по независимому наблюдению за выборами. «Голос» обучает наблюдателей, поддерживает работу федеральной горячей линии и онлайн-сервисов, оказывает избирателям юридическую помощь, участвует в совершенствовании избирательной системы, проводит долгосрочное и краткосрочное наблюдение за выборами.","Минюст посчитал иностранным финансированием денежный перевод от гражданки Нигерии, с карты которой Важенкову перечислили деньги за покупку билета на самолет, за который он расплатился милями.

Политической деятельностью была признана работа в общественном движении в защиту прав избирателей «Голос».

В 2013 году «Голос» был внесен в реестр НКО иноагентов. 18.08.2021 Министерство юстиции внесло «Голос» в реестр «незарегистрированных объединений, выполняющих функцию иностранного агента». «Голос» стал первым в данном реестре. 
",,,,,
